,accommodates,price,guests_included,extra_people
525,2,45.0,1,5.00
526,4,50.0,1,0.00
527,2,90.0,1,0.00
528,2,65.0,1,0.00
529,2,59.0,1,5.00
530,2,50.0,1,0.00
531,6,119.0,1,0.00
532,4,49.0,2,15.00
533,2,81.0,1,0.00
534,2,60.0,1,0.00
535,2,59.0,2,10.00
536,2,48.0,1,0.00
537,5,60.0,2,20.00
538,5,250.0,1,0.00
539,1,20.0,1,10.00
540,4,100.0,1,0.00
541,2,59.0,1,0.00
542,2,50.0,1,0.00
543,2,75.0,1,5.00
544,2,65.0,1,0.00
545,2,50.0,1,0.00
546,2,34.0,1,8.00
547,2,75.0,2,20.00
548,2,60.0,1,0.00
549,2,54.0,1,0.00
550,5,60.0,2,15.00
551,2,45.0,1,10.00
552,2,50.0,2,20.00
553,2,65.0,1,0.00
554,4,118.0,1,0.00
555,8,250.0,4,20.00
556,1,26.0,1,0.00
557,4,100.0,2,25.00
558,2,55.0,1,0.00
559,8,99.0,1,16.00
560,5,120.0,3,15.00
561,8,305.0,6,60.00
562,2,25.0,1,10.00
563,2,73.0,1,0.00
564,2,42.0,1,7.00
565,1,15.0,1,0.00
566,7,225.0,1,0.00
567,6,162.0,4,10.00
568,2,60.0,2,0.00
569,2,85.0,2,0.00
570,2,45.0,2,0.00
571,5,89.0,3,10.00
572,2,43.0,1,7.00
573,2,31.0,1,0.00
574,2,53.0,1,0.00
575,4,60.0,2,15.00
576,4,120.0,2,15.00
577,2,50.0,1,0.00
578,4,40.0,2,0.00
579,6,130.0,1,20.00
580,2,35.0,1,20.00
581,2,60.0,1,0.00
582,2,46.0,1,0.00
583,2,75.0,2,45.00
584,2,39.0,2,0.00
585,3,90.0,2,15.00
586,4,65.0,2,25.00
587,7,100.0,2,20.00
588,2,50.0,1,0.00
589,2,85.0,1,0.00
590,2,65.0,1,0.00
591,2,155.0,1,0.00
592,2,125.0,1,0.00
593,2,155.0,1,0.00
594,4,60.0,1,0.00
595,3,63.0,1,0.00
596,2,155.0,1,0.00
597,2,125.0,1,0.00
598,4,99.0,2,25.00
599,2,39.0,1,0.00
600,7,65.0,2,40.00
601,4,47.0,2,7.00
602,3,50.0,2,10.00
603,3,100.0,2,15.00
604,2,41.0,2,15.00
605,3,60.0,1,0.00
606,4,59.0,2,25.00
607,4,99.0,2,25.00
608,2,45.0,1,0.00
609,2,60.0,2,20.00
610,6,100.0,2,25.00
611,2,40.0,1,0.00
612,2,60.0,1,0.00
613,2,99.0,1,0.00
614,2,50.0,2,10.00
615,2,68.0,1,20.00
616,1,49.0,1,15.00
617,5,90.0,1,0.00
618,4,99.0,2,28.00
619,2,60.0,1,0.00
620,2,75.0,1,0.00
621,4,80.0,2,11.00
622,2,60.0,1,0.00
623,3,55.0,1,6.00
624,3,49.0,2,20.00
625,4,150.0,2,25.00
626,2,59.0,1,0.00
627,2,39.0,2,15.00
628,2,110.0,1,0.00
629,2,75.0,1,0.00
630,2,59.0,1,0.00
631,3,56.0,1,4.00
632,6,109.0,2,20.00
633,2,27.0,1,25.00
634,5,100.0,1,0.00
635,2,40.0,1,0.00
636,2,55.0,1,4.00
637,7,95.0,2,30.00
638,4,85.0,1,0.00
639,2,65.0,1,0.00
640,6,140.0,2,10.00
641,3,60.0,1,0.00
642,2,139.0,1,0.00
643,3,75.0,2,35.00
644,2,58.0,2,20.00
645,6,100.0,2,25.00
646,4,70.0,2,10.00
647,4,47.0,2,10.00
648,2,60.0,2,15.00
649,4,90.0,1,0.00
650,1,15.0,1,0.00
651,10,112.0,5,28.00
652,2,59.0,1,0.00
653,6,151.0,4,29.00
654,4,180.0,1,0.00
655,3,55.0,2,20.00
656,4,69.0,1,0.00
657,9,130.0,1,0.00
658,4,52.0,1,25.00
659,2,75.0,1,0.00
660,2,65.0,1,0.00
661,2,25.0,1,0.00
662,2,65.0,2,33.00
663,2,35.0,1,5.00
664,8,50.0,1,50.00
665,6,245.0,1,0.00
666,4,175.0,2,15.00
667,2,35.0,1,10.00
668,7,135.0,4,20.00
669,2,80.0,1,0.00
670,4,129.0,2,20.00
671,6,150.0,4,30.00
672,4,89.0,2,15.00
673,2,35.0,1,10.00
674,6,185.0,6,35.00
675,3,86.0,2,15.00
676,2,85.0,1,0.00
677,4,69.0,2,25.00
678,4,150.0,1,0.00
679,5,53.0,1,10.00
680,3,49.0,1,0.00
681,2,55.0,1,20.00
682,2,51.0,2,15.00
683,3,55.0,2,15.00
684,4,110.0,1,0.00
685,6,64.0,2,42.00
686,5,85.0,5,0.00
687,2,45.0,2,50.00
688,2,45.0,2,10.00
689,1,30.0,1,0.00
690,2,37.0,1,10.00
691,2,60.0,1,7.00
692,4,128.0,2,10.00
693,5,105.0,4,20.00
694,2,85.0,1,0.00
695,1,30.0,1,7.00
696,3,95.0,2,10.00
697,2,44.0,1,0.00
698,4,90.0,1,0.00
699,2,41.0,1,0.00
700,2,110.0,1,0.00
701,10,350.0,6,30.00
702,6,35.0,1,25.00
703,2,50.0,2,0.00
704,10,237.0,1,70.00
705,2,54.0,1,0.00
706,3,81.0,1,0.00
707,9,190.0,4,11.00
708,2,45.0,1,9.00
709,1,19.0,1,16.00
710,4,65.0,2,15.00
711,4,70.0,2,10.00
712,4,68.0,2,25.00
713,2,50.0,1,0.00
714,5,110.0,4,0.00
715,2,45.0,1,0.00
716,2,32.0,1,10.00
717,5,135.0,1,0.00
718,2,45.0,2,15.00
719,2,60.0,1,0.00
720,10,350.0,1,0.00
721,2,74.0,2,80.00
722,3,75.0,2,15.00
723,2,35.0,1,5.00
724,2,160.0,1,0.00
725,3,80.0,2,20.00
726,8,112.0,5,28.00
727,2,43.0,1,10.00
728,2,80.0,1,0.00
729,2,37.0,1,0.00
730,1,75.0,1,0.00
731,3,82.0,2,25.00
732,2,58.0,2,0.00
733,2,71.0,1,61.00
734,2,45.0,1,0.00
735,2,65.0,2,20.00
736,2,85.0,2,0.00
737,2,45.0,1,0.00
738,5,99.0,2,10.00
739,3,75.0,2,5.00
740,2,60.0,1,5.00
741,2,41.0,1,5.00
742,4,75.0,1,0.00
743,2,0.0,1,0.00
744,3,60.0,1,0.00
745,1,79.0,1,0.00
746,2,52.0,1,0.00
747,2,1250.0,1,0.00
748,4,80.0,4,10.00
749,2,37.0,1,0.00
750,4,80.0,1,0.00
751,2,90.0,1,0.00
752,2,47.0,1,0.00
753,4,70.0,4,15.00
754,6,180.0,1,0.00
755,2,55.0,2,30.00
756,5,89.0,4,20.00
757,2,65.0,2,15.00
758,3,65.0,1,0.00
759,2,95.0,2,0.00
760,2,90.0,1,0.00
761,2,30.0,1,6.00
