,host_response_time,host_response_rate,host_is_superhost,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,amenities_%
59,3,50,0,51.20828,4.42645,2,1.0,1,1.0,70.00,0.0,1,0,0,0,0,0,0,0,1,28.57142857142857
60,1,100,0,51.22266,4.43502,2,1.5,1,1.0,33.00,91.0,0,0,1,0,0,0,0,0,1,21.428571428571427
61,2,100,1,51.214059999999996,4.43907,4,1.0,2,3.0,38.00,92.0,1,0,0,0,0,0,0,0,1,64.28571428571429
62,1,100,1,51.212740000000004,4.39507,2,1.0,1,1.0,125.00,99.0,1,0,0,0,0,0,0,0,1,64.28571428571429
63,3,89,0,51.21094,4.3975599999999995,4,1.0,1,2.0,104.00,90.0,1,0,0,0,0,0,0,0,1,35.714285714285715
64,0,0,0,51.19463,4.41464,4,1.0,1,1.0,270.00,100.0,1,0,0,0,0,0,0,0,1,50.0
65,2,89,0,51.202020000000005,4.41754,2,1.0,1,1.0,22.00,89.0,0,0,1,0,0,0,0,0,1,14.285714285714285
66,1,100,0,51.197140000000005,4.4172199999999995,4,1.0,1,2.0,85.00,95.0,1,0,0,0,0,0,0,0,1,28.57142857142857
67,3,60,0,51.226420000000005,4.401,2,1.0,0,1.0,60.00,89.0,1,0,0,0,0,0,0,0,1,35.714285714285715
68,1,100,0,51.20612,4.41758,2,1.0,1,2.0,23.00,0.0,1,0,0,0,0,0,0,0,1,42.857142857142854
69,3,100,0,51.1958,4.4392,2,1.0,1,1.0,45.00,93.0,1,0,0,0,0,0,0,0,1,28.57142857142857
70,3,100,0,51.17635,4.42433,2,1.0,1,1.0,75.00,88.0,0,0,1,0,0,0,0,0,1,28.57142857142857
71,0,0,0,51.22725,4.4355199999999995,3,1.0,1,2.0,49.00,96.0,1,0,0,0,0,0,0,0,1,42.857142857142854
72,1,100,0,51.22298,4.4134199999999995,4,1.0,1,2.0,36.00,88.0,1,0,0,0,0,0,0,0,1,42.857142857142854
73,2,100,1,51.22979,4.44464,2,2.0,1,1.0,50.00,89.0,0,0,1,0,0,0,0,0,1,57.14285714285714
74,2,100,1,51.21711,4.44417,2,1.0,1,1.0,85.00,100.0,0,0,1,0,0,0,0,0,1,28.57142857142857
75,1,97,0,51.216590000000004,4.4073,4,1.0,1,2.0,110.00,90.0,1,0,0,0,0,0,0,0,1,35.714285714285715
76,1,90,0,51.221540000000005,4.4383,2,1.5,1,1.0,49.00,94.0,0,0,1,0,0,0,0,0,1,28.57142857142857
77,1,100,1,51.22233,4.404669999999999,2,1.0,1,1.0,95.00,99.0,1,0,0,0,0,0,0,0,1,71.42857142857143
78,0,0,0,51.21699,4.40014,2,1.0,1,2.0,155.00,0.0,0,0,1,0,0,0,0,0,1,50.0
79,0,0,0,51.22092,4.4294199999999995,2,1.0,1,1.0,45.00,94.0,0,0,1,0,0,0,0,0,1,64.28571428571429
80,1,100,1,51.21861,4.4096400000000004,4,1.0,2,2.0,98.00,97.0,1,0,0,0,0,0,0,0,1,42.857142857142854
81,4,25,0,51.217620000000004,4.39954,4,1.0,2,2.0,180.00,98.0,0,1,0,0,0,0,0,0,1,42.857142857142854
82,2,100,1,51.21611,4.43234,2,1.0,1,1.0,65.00,98.0,1,0,0,0,0,0,0,0,1,28.57142857142857
83,1,100,0,51.20923,4.42563,2,1.5,1,1.0,60.00,100.0,1,0,0,0,0,0,0,0,1,50.0
84,1,100,1,51.1976,4.42955,2,1.0,1,1.0,33.00,91.0,0,0,1,0,0,0,0,0,1,28.57142857142857
85,2,100,0,51.209759999999996,4.43582,8,2.5,1,2.0,35.00,88.0,0,0,0,1,0,0,0,0,1,42.857142857142854
86,1,100,0,51.200559999999996,4.433330000000001,16,1.5,4,35.0,450.00,75.0,0,0,1,0,0,0,0,0,1,64.28571428571429
87,1,100,0,51.20179,4.43163,16,2.0,1,28.0,44.00,84.0,0,0,0,1,0,0,0,0,1,42.857142857142854
88,3,60,0,51.20523,4.38893,2,1.0,1,1.0,75.00,94.0,1,0,0,0,0,0,0,0,1,64.28571428571429
89,1,100,0,51.201229999999995,4.43141,16,1.0,1,19.0,22.00,88.0,0,1,0,0,0,0,0,0,1,50.0
90,0,0,0,51.22318,4.40447,4,1.0,1,2.0,65.00,90.0,1,0,0,0,0,0,0,0,1,35.714285714285715
91,1,100,1,51.21018,4.42983,6,1.0,3,6.0,140.00,93.0,1,0,0,0,0,0,0,0,1,50.0
92,1,100,1,51.215709999999994,4.43311,8,3.5,4,7.0,335.00,94.0,1,0,0,0,0,0,0,0,1,50.0
93,0,0,0,51.22493,4.40372,2,1.0,1,1.0,59.00,93.0,1,0,0,0,0,0,0,0,1,21.428571428571427
94,2,100,0,51.20688,4.40645,7,2.0,3,4.0,230.00,100.0,1,0,0,0,0,0,0,0,1,42.857142857142854
95,1,100,1,51.21757,4.41641,2,1.0,1,1.0,66.00,95.0,1,0,0,0,0,0,0,0,1,50.0
96,3,80,0,51.206579999999995,4.42614,2,1.0,1,1.0,70.00,93.0,1,0,0,0,0,0,0,0,1,42.857142857142854
97,4,0,0,51.2068,4.4185300000000005,4,1.0,1,1.0,87.00,95.0,1,0,0,0,0,0,0,0,1,42.857142857142854
98,0,0,0,51.20495,4.3897699999999995,4,1.0,2,2.0,109.00,94.0,1,0,0,0,0,0,0,0,1,50.0
99,1,100,0,51.198159999999994,4.41898,8,1.5,3,3.0,110.00,91.0,1,0,0,0,0,0,0,0,1,42.857142857142854
